STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Jharkhand,Jamtara,2009,23,55,1,7,1,8,10,6,4,7,2,12,16,57,30,28,50,3,11,0,5,0,1,10,2,1,1,2,254,523,21.791666666666668
Nagaland,Dimapur,2009,14,7,1,6,0,8,35,3,31,6,2,69,48,183,16,172,1,3,15,3,1,6,2,9,1,0,2,27,99,538,35.86666666666667
Chhattisgarh,Kabirdham,2009,9,19,1,30,1,29,7,5,1,1,0,14,119,142,21,120,52,6,20,0,10,641,4,77,6,22,2,58,477,1722,172.2
Bihar,Patna Rly.,2009,17,8,2,2,1,2,6,2,5,7,3,18,4,769,74,696,22,1,14,1,1,2,3,9,1,1,2,1,256,1143,63.5
Odisha,Rayagada,2009,24,12,2,18,0,21,13,9,2,8,1,13,40,74,3,65,58,9,17,3,24,0,7,53,1,23,1,135,188,714,28.56
Madhya Pradesh,Sihore,2009,33,56,1,64,0,62,27,23,1,2,5,17,171,293,97,194,27,17,30,1,17,379,8,88,16,47,2,139,1901,3335,98.08823529411765
Delhi Ut,Stf,2009,0,4,2,2,1,1,0,2,2,1,1,1,2,0,2,2,1,2,2,1,2,1,2,2,1,1,2,1,4,15,15.0
Chhattisgarh,Surajpur,2009,58,18,4,80,1,77,12,5,4,3,1,23,111,131,25,106,40,11,14,0,7,369,3,72,3,37,0,85,402,1482,25.11864406779661
Uttar Pradesh,Pilibhit,2009,28,25,8,14,2,16,61,58,7,0,0,8,20,90,24,66,8,39,66,1,2,4,29,36,14,188,1,99,1100,1834,63.241379310344826
Madhya Pradesh,Alirajpur,2009,53,54,0,28,2,27,6,6,1,3,1,7,34,70,33,35,14,0,3,2,12,286,1,22,2,8,2,77,651,1330,24.62962962962963
Uttar Pradesh,Basti,2009,25,12,9,7,0,10,30,28,1,1,2,15,18,54,26,26,18,8,17,1,2,70,12,7,1,15,1,91,391,804,30.923076923076923
Andhra Pradesh,Guntur Urban,2009,49,28,0,34,0,35,32,27,4,2,1,13,139,851,318,529,1,13,274,3,8,1005,4,85,111,397,1,230,647,3934,78.68
Madhya Pradesh,Singrauli,2009,28,18,2,39,1,38,12,13,2,1,2,5,133,173,23,151,23,1,9,2,5,345,21,88,3,25,1,78,1091,2102,72.48275862068965
Uttar Pradesh,Mirzapur,2009,29,3,12,5,1,2,3,3,0,0,0,1,19,65,34,31,1,38,48,2,4,102,18,5,1,32,2,101,530,1010,33.666666666666664
Chhattisgarh,Korba,2009,59,11,3,33,2,37,7,4,2,5,6,38,183,228,106,125,48,8,47,2,12,688,8,81,9,54,1,167,733,2430,40.5
Kerala,Palakkad,2009,40,43,10,84,0,85,11,8,3,5,21,37,209,235,71,162,684,33,201,1,26,1374,3,158,19,405,2,9,4117,7722,188.34146341463415
Chhattisgarh,Bilaspur,2009,94,45,6,63,2,61,23,23,2,2,2,63,525,786,293,489,156,11,34,5,19,1422,24,179,7,131,1,210,1779,5581,58.747368421052634
Odisha,Srp(Rourkela),2009,7,3,2,0,2,1,2,1,1,1,0,8,11,135,23,113,3,3,1,2,2,3,2,1,2,1,0,7,110,304,38.0
Odisha,Sambalpur,2009,44,41,2,26,2,25,17,14,3,18,4,95,149,323,95,232,82,13,31,3,8,273,2,32,2,52,2,193,857,2273,50.51111111111111
Karnataka,Dakshin Kannada,2009,24,37,1,12,1,12,10,9,5,3,2,18,265,214,109,105,196,7,93,7,21,500,1,38,4,45,2,13,2371,3888,155.52
Gujarat,Valsad,2009,33,10,2,9,2,10,17,17,0,4,2,6,127,365,231,133,26,33,22,4,11,139,0,4,2,24,1,265,1428,2532,74.47058823529412
Uttar Pradesh,Jaunpur,2009,44,62,24,25,0,24,48,34,12,4,1,41,64,168,56,111,84,43,149,4,5,362,48,28,46,72,2,43,842,2199,48.86666666666667
Uttar Pradesh,Auraiya,2009,28,23,8,12,0,9,52,42,8,1,1,9,11,94,52,42,18,17,24,2,2,73,19,19,0,34,1,144,417,1001,34.51724137931034
Maharashtra,Ratnagiri,2009,21,2,7,15,1,17,8,3,4,10,1,8,153,276,21,251,98,23,38,2,35,205,3,31,29,50,2,127,454,1598,72.63636363636364
Jammu & Kashmir,Kupwara,2009,8,25,4,10,1,11,44,44,1,2,2,1,49,75,13,64,150,6,17,4,16,8,1,46,10,3,1,8,285,765,85.0
Karnataka,Uttar Kannada,2009,17,15,3,9,2,10,10,9,2,5,2,11,87,94,40,52,56,12,29,3,8,358,0,48,5,82,1,1,1719,2578,143.22222222222223
Tamil Nadu,Chennai,2009,101,158,4,45,1,48,47,28,17,4,4,74,383,1538,233,1307,59,22,522,70,3,773,14,47,24,124,0,606,6249,10870,106.56862745098039
Jammu & Kashmir,Baramulla,2009,19,33,7,14,0,12,65,61,5,1,1,2,128,142,20,126,140,7,7,1,15,11,1,80,14,0,2,2,564,1249,62.45
Kerala,Kasargod,2009,21,30,6,48,0,49,8,5,5,1,0,28,136,143,66,81,637,32,170,1,52,813,0,75,7,191,2,1,1154,3565,162.04545454545453
Uttar Pradesh,Bijnor,2009,99,49,26,29,2,28,67,47,19,6,0,33,38,180,77,103,70,43,151,2,2,340,28,32,75,186,2,141,472,2072,20.72
Gujarat,Bharuch,2009,39,10,2,8,1,9,15,14,0,5,1,12,113,279,117,160,29,44,7,8,7,220,2,16,4,69,2,283,1375,2536,63.4
Rajasthan,Dholpur,2009,46,88,1,32,1,31,69,52,14,1,6,23,63,519,218,302,8,8,191,2,9,1598,33,20,2,181,1,88,1195,4173,88.7872340425532
Himachal Pradesh,Kullu,2009,5,5,2,23,0,24,13,8,0,2,1,5,51,56,16,39,29,1,21,1,7,37,0,25,1,18,1,62,605,959,159.83333333333334
Odisha,Puri,2009,27,31,1,35,1,36,32,20,15,12,2,123,174,399,96,301,81,1,53,1,17,52,11,22,7,86,2,270,1493,2931,104.67857142857143
Rajasthan,Banswara,2009,33,13,1,56,2,54,102,95,9,4,1,7,56,123,62,57,61,10,140,0,23,614,5,58,0,189,1,150,916,2565,75.44117647058823
Karnataka,Chickmagalur,2009,32,36,1,12,2,11,15,13,4,5,0,15,159,171,61,111,136,7,51,3,6,760,1,66,3,104,0,3,1325,2914,88.3030303030303
Madhya Pradesh,Burhanpur,2009,18,11,2,13,1,14,3,1,0,4,2,8,47,138,40,98,13,5,6,2,3,123,4,55,2,13,2,30,872,1369,72.05263157894737
Jharkhand,Saraikela,2009,67,51,3,32,1,32,14,11,2,15,0,24,46,196,92,108,14,11,49,2,2,2,8,10,1,17,2,91,239,887,13.044117647058824
Haryana,Kurukshetra,2009,22,17,2,40,1,40,32,24,8,2,5,22,243,582,270,311,1,73,21,6,4,207,12,9,26,72,1,5,1005,2414,104.95652173913044
Kerala,Palakkad,2009,34,17,2,43,0,41,15,7,5,3,12,41,188,273,131,139,528,64,197,3,31,1175,2,133,5,297,2,3,2496,5557,158.77142857142857
Arunachal Pradesh,Kameng West,2009,0,1,1,2,1,2,3,0,1,2,2,2,7,20,2,18,4,5,3,3,1,18,2,6,1,2,2,20,14,98,98.0
Assam,G.R.P.,2009,6,1,2,6,1,5,8,9,2,4,0,6,5,156,1,155,2,2,3,1,2,7,2,2,2,2,2,5,43,252,36.0
Odisha,Jagatsinghpur,2009,37,23,1,29,0,30,49,43,3,16,6,51,89,200,72,132,45,1,22,1,14,128,17,14,2,77,1,205,567,1588,41.78947368421053
Madhya Pradesh,Sagar,2009,94,96,1,132,1,133,106,103,0,4,1,54,379,489,200,290,87,8,70,1,27,2525,36,416,30,154,1,255,4005,8978,94.50526315789473
Uttar Pradesh,Ballia,2009,31,29,14,9,2,8,27,17,10,1,1,8,48,107,54,51,40,20,44,3,1,99,14,12,9,10,1,28,265,814,25.4375
Chhattisgarh,Bilaspur,2009,95,53,1,57,1,60,43,32,12,3,1,69,574,851,324,522,186,16,57,8,44,1740,30,174,15,133,2,234,2050,6436,67.04166666666667
Maharashtra,Navi Mumbai,2009,68,24,4,39,2,36,31,18,14,14,4,314,690,1934,914,1020,131,79,410,9,4,506,3,57,32,111,2,368,827,5657,81.98550724637681
Jammu & Kashmir,Kargil,2009,2,1,1,1,2,2,0,2,2,2,0,1,11,10,1,8,7,1,0,1,0,1,2,2,0,1,2,5,94,135,45.0
Maharashtra,Pune Commr.,2009,118,122,9,68,1,65,106,82,19,34,53,512,1306,5182,3259,1920,468,77,611,59,21,1215,6,102,72,235,0,539,2938,13847,116.36134453781513
Punjab,Ludhiana,2009,71,69,10,45,1,46,116,78,37,5,23,17,216,579,301,275,1,23,280,2,1,291,12,34,22,94,2,279,965,3150,43.75
Jammu & Kashmir,Crime Srinagar,2009,0,0,2,2,0,1,0,1,1,1,0,1,1,1,1,1,2,0,25,1,1,2,2,1,2,1,2,1,2,23,23.0
Madhya Pradesh,Vidisha,2009,46,54,2,88,0,87,28,27,2,1,1,30,246,342,142,199,51,10,32,2,19,704,14,199,21,80,0,114,2572,4649,98.91489361702128
Uttarakhand,Champawat,2009,4,6,2,3,2,4,4,2,0,1,0,0,7,11,2,10,2,0,2,0,0,25,2,1,1,6,2,8,13,90,18.0
Bihar,Total,2009,3199,3328,347,935,3,933,4268,3050,1219,556,105,1382,3627,16294,5042,11253,9766,1739,3777,64,704,19389,1413,788,12,2607,10,5877,55703,135894,42.466875
Bihar,Supaul,2009,34,139,22,25,0,28,42,31,14,12,1,32,38,112,27,82,175,26,38,3,16,128,10,23,1,29,1,38,737,1674,47.82857142857143
Uttar Pradesh,Mathura,2009,83,116,16,38,2,34,72,46,30,10,0,44,87,609,379,234,140,118,368,5,13,183,27,62,52,248,1,275,1401,3967,47.226190476190474
Maharashtra,Mumbai Commr.,2009,217,160,6,184,1,180,147,87,61,40,32,315,2770,12008,4185,7824,305,511,2133,128,13,3894,17,401,102,435,1,711,6738,31260,143.39449541284404
Odisha,Balasore,2009,53,42,2,49,0,48,76,70,6,11,3,45,165,321,97,222,38,37,98,3,29,1362,39,190,30,209,1,6,528,3330,61.666666666666664
Andhra Pradesh,East Godavari,2009,92,94,5,49,1,47,78,61,19,1,2,29,458,1120,327,797,60,100,300,34,34,3046,21,195,177,438,1,666,1650,8662,93.13978494623656
Uttar Pradesh,Kushi Nagar,2009,49,25,28,11,1,12,76,74,3,3,1,4,30,112,79,35,61,35,84,1,12,136,37,9,1,32,1,157,630,1531,30.62
Andhra Pradesh,Adilabad,2009,97,90,7,46,0,46,57,48,8,6,2,16,197,303,83,216,64,37,160,1,24,1046,18,135,157,428,1,344,1725,4957,50.58163265306123
Punjab,Ludhiana Rural,2009,24,21,3,14,2,13,25,20,6,1,8,6,57,143,46,99,1,10,48,3,2,161,2,5,2,38,2,103,332,993,39.72
Jharkhand,Total,2009,1746,717,85,783,1,782,939,658,283,310,39,616,1235,6377,1871,4504,2135,447,907,23,139,4403,280,315,7,661,5,1729,11941,35839,20.514596451058956
Uttar Pradesh,Khiri,2009,91,67,47,49,2,45,74,71,1,8,2,22,66,277,91,181,42,23,103,1,4,291,56,50,24,65,0,49,891,2310,25.108695652173914
Goa,South Goa,2009,24,11,2,16,2,13,19,10,4,0,2,16,150,239,112,129,58,15,49,8,22,90,2,19,12,7,0,98,400,1253,50.12
Jharkhand,Simdega,2009,71,24,4,21,1,21,20,19,1,15,2,19,16,60,12,48,12,2,4,0,4,60,2,0,1,7,1,2,96,431,5.986111111111111
Madhya Pradesh,Umariya,2009,23,11,2,22,2,20,6,6,0,2,0,9,72,63,21,39,6,2,19,1,5,109,3,77,12,25,1,0,942,1405,58.541666666666664
Uttar Pradesh,Lalitpur,2009,12,2,11,6,1,5,10,9,5,3,0,9,17,45,21,24,16,13,20,4,5,12,10,16,0,16,1,60,334,614,47.23076923076923
Odisha,Cuttack,2009,24,10,2,27,2,27,47,44,0,14,2,56,97,181,46,134,55,1,25,1,12,89,28,24,5,135,0,134,1413,2376,95.04
Madhya Pradesh,Rewa,2009,44,39,6,91,1,89,27,24,3,4,4,56,403,410,189,219,2,12,64,2,15,1005,33,122,108,113,6,184,2267,5005,111.22222222222223
Jharkhand,Total,2009,1637,1272,103,719,2,721,826,518,310,412,54,779,1394,7718,2990,4724,2311,471,910,13,201,4133,295,278,84,709,5,1676,11428,37434,22.853479853479854
Rajasthan,Dausa,2009,22,17,6,11,1,11,100,73,25,4,7,17,69,908,597,310,20,6,315,1,11,112,11,18,1,186,0,276,3019,5145,223.69565217391303
Odisha,Jharsuguda,2009,20,28,0,9,0,9,14,10,4,20,0,29,111,253,73,180,58,4,12,1,7,512,0,69,4,15,0,107,156,1428,68.0
West Bengal,Murshidabad,2009,146,638,26,435,0,434,566,493,73,20,78,49,12,1111,187,922,252,94,190,27,47,4011,48,621,7,2955,2,288,2532,14152,96.27210884353741
Madhya Pradesh,Datiya,2009,48,48,2,25,1,25,22,12,8,1,1,40,123,168,58,106,32,2,15,1,15,422,7,70,1,30,1,75,1349,2489,50.795918367346935
Bihar,Arwal,2009,29,2,1,2,1,0,10,12,4,1,2,6,9,55,4,56,28,10,22,2,1,2,14,0,0,8,1,66,432,693,23.1
Rajasthan,Pali,2009,46,35,4,50,0,47,101,92,7,0,1,13,169,311,111,202,4,28,411,1,8,48,7,79,3,402,0,325,3209,5256,111.82978723404256
West Bengal,Asansol,2009,36,9,13,17,1,18,19,15,6,4,65,6,6,325,175,147,47,4,46,1,5,70,19,14,2,309,2,110,721,1841,49.75675675675676
Uttar Pradesh,Kannauj,2009,39,26,12,6,2,6,58,46,6,4,2,11,14,80,34,44,20,35,42,2,0,19,24,30,10,86,2,126,539,1177,29.425
Tamil Nadu,Madurai Rural,2009,70,81,3,18,1,18,47,38,10,2,2,75,121,343,81,258,180,3,134,1,18,605,8,77,15,82,2,449,2820,5153,72.5774647887324
Puducherry,Karaikal,2009,5,0,1,0,1,0,2,0,2,1,1,1,21,49,22,30,25,2,5,2,3,206,2,14,1,1,1,47,340,725,120.83333333333333
Kerala,Alapuzha,2009,27,16,2,58,0,58,14,8,5,1,0,34,157,268,44,224,471,27,319,3,12,2105,3,247,77,312,2,6,5772,9928,354.57142857142856
Gujarat,Junagadh,2009,30,12,2,9,2,11,71,67,0,6,2,11,157,381,231,149,96,23,35,6,15,444,0,25,4,422,0,212,2232,4197,135.38709677419354
Odisha,Balasore,2009,34,31,2,56,2,57,50,41,11,19,2,41,173,291,46,246,46,27,30,2,23,367,36,114,21,33,0,3,1401,2797,79.91428571428571
Chhattisgarh,Kabirdham,2009,19,13,5,18,2,18,2,2,4,1,2,8,78,100,14,83,41,0,16,2,8,661,1,55,7,29,2,69,437,1565,78.25
Rajasthan,Jalore,2009,25,21,3,13,1,13,26,16,12,1,1,10,64,148,42,106,16,12,138,2,30,67,6,48,2,105,1,122,1614,2473,95.11538461538461
Punjab,Cp Jalandhar,2009,29,38,9,13,1,14,44,42,3,1,7,22,144,489,207,281,2,19,233,1,11,167,4,20,4,72,1,79,553,1960,65.33333333333333
Uttar Pradesh,Etah,2009,141,193,30,39,0,39,108,64,42,0,2,28,82,298,120,176,114,37,116,2,18,226,56,49,24,79,1,215,871,2725,19.190140845070424
Madhya Pradesh,Khargon,2009,43,47,2,64,0,61,11,6,4,1,2,13,174,501,92,408,72,12,127,1,17,555,29,155,21,54,2,135,2173,4200,95.45454545454545
Bihar,Samastipur,2009,110,212,19,24,1,28,129,29,101,10,3,47,81,408,95,312,235,24,28,2,47,266,66,19,1,63,1,165,2119,4076,36.72072072072072
Haryana,Fatehabad,2009,21,11,4,10,2,11,27,23,6,2,6,3,127,297,161,135,25,7,65,1,7,186,2,17,15,142,1,2,648,1621,73.68181818181819
Madhya Pradesh,Tikamgarh,2009,55,36,0,64,0,62,18,13,5,5,1,35,173,208,30,176,69,5,21,1,34,1016,13,149,1,38,1,78,1499,3514,62.75
Tamil Nadu,Thiruvallur,2009,34,39,4,17,1,17,23,20,0,6,1,32,79,230,27,208,75,4,34,5,10,486,7,16,0,28,1,296,2689,4116,117.6
Jharkhand,Garhwa,2009,55,46,1,19,1,19,21,13,8,14,2,15,22,75,9,64,143,9,23,2,10,169,10,2,1,32,2,61,303,1015,18.125
Jharkhand,Hazaribagh,2009,72,40,7,23,0,22,57,51,7,20,8,29,57,314,110,206,140,13,69,2,4,390,24,27,0,20,1,4,960,2280,31.232876712328768
Andhra Pradesh,Cyberabad,2009,189,85,8,96,2,93,148,74,76,12,0,64,1359,4013,1611,2404,62,174,1256,18,59,3531,42,159,1256,1189,0,1082,1543,16346,86.03157894736842
Uttar Pradesh,Sidharthnagar,2009,11,3,13,3,1,4,27,24,2,0,2,8,40,78,31,45,15,22,63,2,1,51,10,15,31,47,2,61,288,769,64.08333333333333
Gujarat,Narmada,2009,17,2,1,5,1,6,5,3,0,1,2,1,11,32,6,23,6,5,1,1,9,116,1,10,2,14,1,43,552,820,45.55555555555556
Odisha,Dcp Bbsr,2009,52,58,3,36,1,38,45,24,21,15,9,105,335,1217,580,636,68,12,245,6,11,766,25,62,5,36,1,166,782,4054,76.49056603773585
Himachal Pradesh,Kinnaur,2009,1,2,0,2,2,3,4,3,1,1,1,2,29,9,3,7,12,3,1,1,0,11,1,2,1,1,2,27,71,170,85.0
Maharashtra,Hingoli,2009,40,35,2,19,0,17,11,10,5,4,3,16,87,159,37,124,131,8,54,2,33,409,1,44,5,81,2,85,520,1745,42.5609756097561
Kerala,Malappuram,2009,26,30,4,34,2,36,16,11,5,11,14,54,274,358,176,178,521,10,215,12,22,735,1,143,33,544,1,2,3941,6992,258.962962962963
Madhya Pradesh,Total,2009,2321,2281,204,2938,2,2937,928,738,191,160,124,2235,11071,24584,10533,14052,2770,571,1369,45,898,36343,804,6444,760,3184,0,6006,100514,206558,88.95693367786392
Jammu & Kashmir,Udhampur,2009,8,10,1,12,1,12,14,13,2,2,1,3,46,53,19,34,34,1,3,2,5,6,0,8,9,6,2,2,623,841,93.44444444444444
Rajasthan,Jodhpur Rural,2009,21,30,1,23,2,25,21,13,6,2,2,14,101,232,24,209,19,10,126,1,23,1050,14,49,0,68,0,192,702,2701,122.77272727272727
Jammu & Kashmir,Kargil,2009,5,1,1,2,1,3,1,3,2,2,2,1,3,3,2,6,11,1,5,2,1,1,2,4,2,0,1,2,84,115,19.166666666666668
Uttar Pradesh,Ghazipur,2009,37,35,22,2,2,3,23,15,5,7,1,47,36,116,48,68,99,17,51,5,5,103,27,12,23,62,0,52,174,959,25.236842105263158
Assam,Goalpara,2009,33,1,1,117,2,117,120,115,3,13,2,3,100,154,54,101,220,1,49,2,4,64,2,11,2,263,1,17,1120,2288,67.29411764705883
Karnataka,Total,2009,1804,1850,94,586,1,586,1375,588,787,272,298,1951,6061,20093,10842,9253,7709,466,5541,191,285,21836,249,2543,84,3439,1,469,65121,142322,78.84875346260388
Bihar,Banka,2009,71,43,4,11,2,12,51,47,6,9,2,22,79,133,10,122,118,8,7,0,33,387,26,2,2,21,1,0,789,1816,25.22222222222222
Assam,Darrang,2009,26,8,0,96,0,97,137,121,18,6,1,12,107,165,21,149,19,78,59,1,1,382,6,225,1,380,2,227,656,2598,96.22222222222223
Tamil Nadu,Perambalur,2009,14,30,1,5,2,3,9,11,2,4,1,24,29,93,45,47,7,1,48,8,0,86,1,18,11,5,2,131,1014,1537,102.46666666666667
Odisha,Malkangir,2009,35,16,2,16,0,16,14,8,2,16,1,5,13,23,2,23,39,0,5,0,14,6,0,21,2,19,2,13,63,324,9.0
West Bengal,Siliguri G.R.P.,2009,2,1,2,2,1,1,4,3,3,1,1,2,2,150,1,152,1,1,2,2,0,1,0,5,2,2,1,1,67,230,76.66666666666667
Nagaland,Kiphire,2009,1,2,2,0,1,0,0,2,3,2,2,2,2,2,2,3,1,1,0,2,1,2,1,2,2,0,1,1,4,10,5.0
Tamil Nadu,Trichy Rly.,2009,2,1,0,2,2,2,1,2,1,0,2,8,2,85,1,87,2,1,2,2,2,19,2,1,0,2,2,3,47,168,56.0
Odisha,Berhampur,2009,21,84,2,10,2,12,14,9,5,11,16,58,74,178,84,93,44,7,40,2,12,246,3,127,11,11,2,100,186,1253,56.95454545454545
Jharkhand,Palamu,2009,79,151,2,35,2,36,63,41,23,25,1,54,69,168,39,128,206,19,48,1,31,241,16,19,2,32,2,76,552,1890,23.625
Bihar,Vaishali,2009,108,75,14,20,2,17,235,146,85,17,5,69,147,688,343,343,351,115,76,2,24,277,77,25,2,61,0,212,2064,4659,42.74311926605505
Jharkhand,Hazaribagh,2009,68,50,6,29,0,30,54,51,1,19,3,42,66,212,98,115,231,20,60,4,8,478,26,17,0,42,2,12,794,2237,32.42028985507246
A & N Islands,Total,2009,9,13,1,12,1,13,15,12,2,2,2,15,80,129,12,119,15,13,20,1,14,106,1,22,5,26,1,3,384,880,88.0
Uttar Pradesh,Aligarh,2009,131,165,39,62,1,61,274,236,38,25,1,85,250,1069,563,505,281,129,387,8,20,296,69,165,1,317,1,315,1555,5635,42.68939393939394
Manipur,Ukhrul,2009,5,17,2,0,1,1,0,2,3,2,6,2,1,8,1,7,0,1,1,0,6,0,2,1,1,2,2,2,17,70,11.666666666666666
Andhra Pradesh,Karimnagar,2009,140,88,10,64,2,64,160,128,30,1,2,17,280,672,252,421,158,42,487,2,57,2790,38,236,239,638,0,569,1629,8318,58.99290780141844
Madhya Pradesh,Bhopal,2009,67,94,3,153,1,151,77,57,17,0,7,189,1078,2819,1714,1100,144,8,356,5,10,2343,48,242,35,230,1,272,7264,15438,227.02941176470588
Madhya Pradesh,Rajgarh,2009,27,57,1,98,0,98,21,14,5,26,1,45,152,403,96,309,90,26,18,3,88,382,11,228,33,145,1,120,3392,5369,191.75
Puducherry,Puducherry,2009,31,22,4,1,2,3,19,12,3,9,4,11,50,660,478,181,118,5,41,4,10,692,0,38,12,10,1,182,1941,3869,120.90625
Maharashtra,Kolhapur,2009,48,36,1,37,1,37,22,20,3,16,1,51,295,743,332,416,217,101,285,4,20,438,18,60,14,129,0,315,1073,3918,79.95918367346938
Gujarat,Himatnagar,2009,48,11,1,7,1,5,35,34,1,7,1,10,134,234,71,165,48,53,19,10,7,259,2,34,2,196,1,272,4667,6039,123.24489795918367
Himachal Pradesh,Baddipolicedist,2009,12,1,2,1,1,0,3,1,1,2,1,2,27,26,17,12,29,8,1,0,0,135,1,4,2,11,0,42,123,424,32.61538461538461
Uttar Pradesh,Azamgarh,2009,74,35,19,25,1,24,60,54,4,1,1,29,63,181,62,120,56,30,75,1,1,256,33,16,33,84,0,7,666,1758,23.44
Uttar Pradesh,Shahjahanpur,2009,92,97,22,43,1,45,102,86,18,5,2,22,39,211,76,136,28,44,139,3,5,128,52,44,0,11,1,255,1016,2359,25.365591397849464
Maharashtra,Bhandara,2009,25,5,3,23,1,26,17,14,0,0,1,16,210,446,86,359,50,19,30,9,17,309,1,40,13,62,1,151,790,2240,86.15384615384616
Andhra Pradesh,Chittoor,2009,101,50,0,43,0,44,87,54,31,8,1,12,151,486,118,368,57,17,151,5,19,828,31,134,120,389,1,553,1979,5216,51.13725490196079
Jammu & Kashmir,Sopore,2009,31,66,2,8,2,11,37,33,2,2,2,5,65,146,10,138,123,1,1,0,19,3,1,61,12,1,1,1,158,733,22.90625
Karnataka,Belgaum,2009,111,85,4,24,1,20,40,29,16,9,1,51,223,460,201,259,370,23,252,7,38,943,8,129,3,234,1,22,3746,6779,60.526785714285715
Uttar Pradesh,Moradabad,2009,104,89,18,57,1,56,183,175,9,22,7,121,109,869,505,364,85,67,153,8,3,84,30,46,2,211,1,215,1137,3616,34.43809523809524
Uttarakhand,Rudra Prayag,2009,2,0,0,2,2,2,0,0,1,0,2,0,5,13,4,10,4,2,1,2,2,4,2,1,0,1,2,5,6,39,13.0
Madhya Pradesh,Betul,2009,52,28,3,118,1,122,19,16,3,1,1,19,93,196,57,138,6,2,29,1,10,296,22,188,7,52,0,176,1959,3276,61.81132075471698
Andhra Pradesh,Nellore,2009,68,75,4,38,2,40,85,71,9,6,1,24,266,737,248,486,45,80,121,18,52,2408,7,186,132,334,0,414,1028,6119,88.68115942028986
Punjab,Muktsar,2009,30,30,1,21,2,19,13,9,1,2,1,2,79,149,64,87,2,0,55,2,0,151,1,4,0,12,2,65,205,818,26.387096774193548
Maharashtra,Pune Commr.,2009,108,120,3,81,2,77,102,73,33,21,35,544,1190,4709,2869,1843,478,93,771,36,25,989,7,116,80,252,2,540,2317,12624,115.81651376146789
Manipur,Bishnupur,2009,15,37,2,4,1,2,6,3,0,2,15,2,3,18,8,11,4,2,9,2,13,29,1,12,2,1,0,1,101,270,16.875
Odisha,Boudh,2009,9,2,1,7,2,10,4,6,1,2,2,5,21,25,0,28,40,1,2,2,9,169,3,58,2,6,1,2,112,487,48.7
Karnataka,Haveri,2009,19,25,0,3,1,4,13,2,15,9,1,18,89,139,66,72,211,7,25,1,2,257,2,48,1,49,1,0,1219,2140,107.0
Odisha,Sonepur,2009,10,21,0,15,2,15,3,7,2,7,1,13,26,53,14,36,32,2,12,2,6,177,4,43,2,12,5,3,132,579,52.63636363636363
Haryana,Sirsa,2009,43,32,5,19,1,23,59,47,11,6,2,16,232,622,345,276,29,21,44,5,10,256,17,27,1,172,1,10,752,2372,53.90909090909091
Maharashtra,Gondia,2009,41,23,1,35,0,31,22,19,1,6,5,9,142,334,55,276,32,5,45,2,32,321,2,68,22,47,2,131,589,1913,45.54761904761905
Gujarat,Rajkot Commr.,2009,38,24,0,13,2,11,41,34,8,7,1,35,244,1040,800,241,62,54,26,9,15,394,2,15,6,295,1,119,1592,4023,103.15384615384616
Kerala,Pathanamthitta,2009,18,19,3,32,1,33,18,13,1,1,15,20,133,180,55,127,419,16,147,2,9,1058,1,155,15,157,0,2,3111,5533,291.2105263157895
Kerala,Thrissur Commr.,2009,9,16,6,27,1,30,12,10,3,8,11,26,73,144,60,82,364,9,676,0,8,340,1,99,28,131,2,5,2895,4891,489.1
Uttar Pradesh,Mau,2009,29,36,10,18,2,17,49,44,5,1,0,16,42,135,39,98,90,28,89,1,1,135,13,31,42,73,1,67,203,1111,37.03333333333333
Karnataka,Tumkur,2009,102,94,9,33,1,32,39,16,24,11,5,89,250,511,166,342,369,12,159,2,5,911,16,137,1,124,1,13,2706,5593,54.300970873786405
Tripura,Grp,2009,3,1,1,1,2,2,0,0,1,2,0,2,1,1,1,4,2,0,1,1,0,4,1,2,2,2,2,2,4,11,2.75
Manipur,Bishnupur,2009,14,44,1,3,1,1,14,10,1,2,25,2,11,36,10,25,4,2,14,0,1,38,2,18,2,2,1,1,105,328,21.866666666666667
Himachal Pradesh,Mandi,2009,17,7,1,30,2,31,14,14,1,2,1,4,94,99,31,69,68,11,33,2,27,132,1,77,8,41,2,62,1419,2145,119.16666666666667
Odisha,Total,2009,1250,1229,49,1025,1,1024,932,798,130,382,61,1490,2936,7136,2523,4613,1719,257,1135,32,411,6816,382,2696,212,2048,1,2979,20561,55741,44.557154276578736
